"simulacion","acciones.CRC","compra.directa","call.europea"
1,22999.1030279223,6899730.90837669,0
2,60155.1505355403,18046545.1606621,6591032.16373811
3,25936.1875882307,7780856.2764692,0
4,76500.3280901558,22950098.4270467,11494585.4301228
5,47302.3087128325,14190692.6138497,2735179.61692577
6,29248.3505028527,8774505.1508558,0
7,41945.6663722887,12583699.9116866,1128186.91476264
8,41945.6663722887,12583699.9116866,1128186.91476264
9,41945.6663722887,12583699.9116866,1128186.91476264
10,254457.758235025,76337327.4705075,64881814.4735835
11,32983.490893855,9895047.2681565,0
12,41945.6663722887,12583699.9116866,1128186.91476264
13,47302.3087128325,14190692.6138497,2735179.61692578
14,25936.1875882307,7780856.27646921,0
15,67837.2224688006,20351166.7406402,8895653.74371621
16,22999.1030279223,6899730.90837669,0
17,22999.1030279223,6899730.90837669,0
18,47302.3087128325,14190692.6138497,2735179.61692577
19,200089.922928497,60026976.8785492,48571463.8816253
20,157338.402787285,47201520.8361856,35746007.8392617
21,25936.1875882307,7780856.27646921,0
22,123721.238078044,37116371.4234132,25660858.4264893
23,37195.6248075908,11158687.4422773,0
24,109710.707929575,32913212.3788724,21457699.3819484
25,97286.7683947341,29186030.5184202,17730517.5214963
26,14220.9935395691,4266298.06187072,0
27,97286.7683947342,29186030.5184203,17730517.5214963
28,11182.5142256848,3354754.26770545,0
29,16037.0756931472,4811122.70794415,0
30,86269.7496288715,25880924.8886614,14425411.8917375
31,86269.7496288714,25880924.8886614,14425411.8917374
32,29248.3505028527,8774505.15085582,0
33,177431.194797873,53229358.439362,41773845.442438
34,47302.3087128324,14190692.6138497,2735179.61692577
35,225642.268278362,67692680.4835087,56237167.4865847
36,47302.3087128324,14190692.6138497,2735179.61692577
37,41945.6663722887,12583699.9116866,1128186.91476264
38,29248.3505028527,8774505.15085581,0
39,22999.1030279223,6899730.90837668,0
40,37195.6248075908,11158687.4422772,0
41,22999.1030279223,6899730.90837668,0
42,97286.7683947342,29186030.5184203,17730517.5214963
43,41945.6663722887,12583699.9116866,1128186.91476265
44,177431.194797873,53229358.439362,41773845.442438
45,37195.6248075908,11158687.4422772,0
46,25936.1875882307,7780856.2764692,0
47,14220.9935395691,4266298.06187072,0
48,32983.4908938551,9895047.26815652,0
49,29248.3505028527,8774505.15085581,0
50,37195.6248075908,11158687.4422772,0
51,29248.3505028527,8774505.1508558,0
52,67837.2224688005,20351166.7406402,8895653.74371619
53,29248.3505028527,8774505.15085581,0
54,9916.17584168146,2974852.75250444,0
55,76500.3280901557,22950098.4270467,11494585.4301227
56,254457.758235025,76337327.4705074,64881814.4735834
57,22999.1030279223,6899730.90837669,0
58,123721.238078044,37116371.4234132,25660858.4264892
59,53343.0173621537,16002905.2086461,4547392.21172215
60,60155.1505355402,18046545.1606621,6591032.1637381
61,18085.0793632753,5425523.80898259,0
62,76500.3280901558,22950098.4270467,11494585.4301228
63,32983.490893855,9895047.26815651,0
64,67837.2224688006,20351166.7406402,8895653.74371622
65,76500.3280901559,22950098.4270468,11494585.4301228
66,76500.3280901558,22950098.4270467,11494585.4301228
67,47302.3087128325,14190692.6138497,2735179.61692577
68,14220.9935395691,4266298.06187072,0
69,12610.5694780055,3783170.84340164,0
70,37195.6248075909,11158687.4422773,0
71,32983.490893855,9895047.2681565,0
72,123721.238078044,37116371.4234132,25660858.4264892
73,60155.1505355403,18046545.1606621,6591032.16373813
74,86269.7496288714,25880924.8886614,14425411.8917375
75,86269.7496288714,25880924.8886614,14425411.8917375
76,29248.3505028527,8774505.15085581,0
77,32983.490893855,9895047.26815651,0
78,76500.3280901557,22950098.4270467,11494585.4301227
79,67837.2224688006,20351166.7406402,8895653.74371621
80,67837.2224688006,20351166.7406402,8895653.74371621
81,47302.3087128324,14190692.6138497,2735179.61692577
82,41945.6663722887,12583699.9116866,1128186.91476264
83,29248.3505028527,8774505.15085582,0
84,67837.2224688007,20351166.7406402,8895653.74371624
85,76500.3280901558,22950098.4270468,11494585.4301228
86,47302.3087128325,14190692.6138497,2735179.61692577
87,109710.707929575,32913212.3788724,21457699.3819484
88,12610.5694780055,3783170.84340164,0
89,6914.46368001984,2074339.10400595,0
90,41945.6663722887,12583699.9116866,1128186.91476263
91,60155.1505355403,18046545.1606621,6591032.16373811
92,86269.7496288713,25880924.8886614,14425411.8917374
93,22999.1030279223,6899730.90837668,0
94,7797.47048653503,2339241.14596051,0
95,76500.3280901559,22950098.4270468,11494585.4301228
96,14220.9935395691,4266298.06187072,0
97,177431.194797874,53229358.4393621,41773845.4424381
98,67837.2224688007,20351166.7406402,8895653.74371623
99,225642.268278362,67692680.4835087,56237167.4865847
100,37195.6248075908,11158687.4422773,0
101,47302.3087128325,14190692.6138497,2735179.61692577
102,41945.6663722887,12583699.9116866,1128186.91476263
103,22999.1030279223,6899730.90837669,0
104,60155.1505355403,18046545.1606621,6591032.16373813
105,29248.3505028526,8774505.15085579,0
106,97286.7683947342,29186030.5184202,17730517.5214963
107,86269.7496288713,25880924.8886614,14425411.8917374
108,67837.2224688006,20351166.7406402,8895653.74371621
109,157338.402787286,47201520.8361856,35746007.8392617
110,32983.4908938551,9895047.26815652,0
111,109710.707929575,32913212.3788724,21457699.3819484
112,4821.39574223267,1446418.7226698,0
113,76500.3280901558,22950098.4270467,11494585.4301228
114,86269.7496288715,25880924.8886614,14425411.8917375
115,97286.7683947342,29186030.5184202,17730517.5214963
116,53343.0173621538,16002905.2086461,4547392.21172217
117,37195.6248075908,11158687.4422773,0
118,177431.194797873,53229358.439362,41773845.442438
119,16037.0756931472,4811122.70794415,0
120,97286.7683947341,29186030.5184202,17730517.5214963
121,32983.4908938551,9895047.26815652,0
122,41945.6663722887,12583699.9116866,1128186.91476264
123,8793.24106713803,2637972.32014141,0
124,53343.0173621537,16002905.2086461,4547392.21172214
125,67837.2224688006,20351166.7406402,8895653.74371621
126,157338.402787285,47201520.8361856,35746007.8392617
127,18085.0793632753,5425523.80898259,0
128,97286.7683947342,29186030.5184203,17730517.5214963
129,76500.3280901557,22950098.4270467,11494585.4301227
130,76500.3280901558,22950098.4270467,11494585.4301228
