"simulacion","acciones.CRC","bonos.cero.cupon.CRC","bonos.cuponados.CRC","acciones.USD","bonos.cero.cupon.USD","bonos.cuponados.USD","portafolio.CRC","portafolio.USD","tipo.cambio","total.portafolio","Ut.tasa.corta.CRC","Ut.tasa.corta.USD"
1,25168119.6129304,23220459.1880871,166268585.709128,106556.286506497,35212.114292633,43828.2554780972,214657164.510145,185596.656277227,541.852684761689,315223210.996753,21,29
2,28382196.9374847,22515250.4106191,162084470.106736,53999.7459135521,34061.987348434,41801.9831895479,212981917.45484,129863.716451534,541.852684761689,283348920.867234,20,24
3,36094122.5864641,25729231.0206137,180518032.778663,64001.264774762,34977.0817848564,43411.3125520258,242341386.385741,142389.659111644,541.852684761689,319495605.457687,24,28
4,15562157.619106,27796194.3552379,191632154.660433,58788.1964001543,34514.5901010314,42595.1287932093,234990506.634777,135897.915294395,541.852684761689,308627156.890561,26,26
5,15562157.619106,23987177.9500215,170723216.527309,69676.6042095899,36426.4393642671,46004.9986140896,210272552.096436,152108.042187947,541.852684761689,292692703.129819,22,34
6,13799856.4824153,23987177.9500215,170723216.527309,64001.264774762,33619.0287102672,41031.2157542901,208510250.959746,138651.509239319,541.852684761689,283638943.487331,22,22
7,28382196.9374847,20718060.2398115,150993177.896714,53999.7459135521,34061.987348434,41801.9831895479,200093435.07401,129863.716451534,541.852684761689,270460438.486404,17,24
8,13799856.4824153,21268630.6174765,154461779.921316,41850.0957646677,36178.242129245,45557.0785427226,189530267.021208,123585.416436635,541.852684761689,256495356.71479,18,33
9,19790660.5345283,24821273.2383427,175466503.250688,49601.327090901,31738.8153080849,37822.95853231,220078437.023559,119163.100931296,541.852684761689,284647283.18771,23,13
10,13799856.4824153,23987177.9500215,170723216.527309,69676.6042095899,33839.3175615997,41413.8426795915,208510250.959746,144929.764450781,541.852684761689,287040832.92928,22,23
11,9622520.61284213,26718225.2682318,185898962.293979,53999.7459135521,34287.0680629242,42195.7179362387,222239708.175053,130482.531912715,541.852684761689,292942018.406461,25,25
12,7566558.08475342,27796194.3552379,191632154.660433,58788.1964001543,34744.5842681571,43000.2988741767,226994907.100424,136533.079542488,541.852684761689,300975722.809303,26,27
13,17549512.2047466,25729231.0206137,180518032.778663,45561.1708454558,34061.987348434,41801.9831895479,223796776.004023,121425.141383438,541.852684761689,289591314.860207,24,24
14,13799856.4824153,28971926.1878995,197742326.220106,53999.7459135521,35689.9129875204,44680.2781903706,240514108.89042,134369.937091443,541.852684761689,313322820.054678,27,31
15,22318013.1631808,22515250.4106191,162084470.106736,35310.1543493409,34744.5842681571,43000.2988741767,206917733.680536,113055.037491675,541.852684761689,268176909.271233,20,27
16,32006725.7859147,26718225.2682318,185898962.293979,64001.264774762,32552.27633387,39198.0452795879,244623913.348126,135751.58638822,541.852684761689,318181274.893241,25,17
17,12237123.12883,19742633.5959625,144674366.387805,53999.7459135521,32972.1537887447,39915.6279025938,176654123.112598,126887.527604891,541.852684761689,245408470.608081,15,19
18,6709700.42786747,22515250.4106191,162084470.106736,89904.6669951356,34061.987348434,41801.9831895479,191309420.945223,165768.637533118,541.852684761689,281131602.241829,20,24
19,8532840.15664228,25729231.0206137,180518032.778663,82581.6995836105,33619.0287102672,41031.2157542901,214780103.955919,157231.944048168,541.852684761689,299976654.968718,24,22
20,13799856.4824153,26718225.2682318,185898962.293979,41850.0957646677,33401.0912005348,40654.0229646074,226417044.044627,115905.20992981,541.852684761689,289220593.222961,25,21
21,15562157.619106,28971926.1878995,197742326.220106,45561.1708454558,33185.4758312771,40282.1860464087,242276410.027111,119028.832723142,541.852684761689,306772502.602195,27,20
22,17549512.2047466,21866242.9296262,158154061.512017,64001.264774762,34514.5901010314,42595.1287932093,197569816.64639,141110.983669003,541.852684761689,274031181.996802,19,26
23,13799856.4824153,31656657.530603,211202722.816154,49601.327090901,34061.987348434,41801.9831895479,256659236.829172,125465.297628883,541.852684761689,324642945.193807,29,24
24,22318013.1631808,26718225.2682318,185898962.293979,41850.0957646677,34514.5901010314,42595.1287932093,234935200.725392,118959.814658908,541.852684761689,299393895.677074,25,26
25,19790660.5345283,22515250.4106191,162084470.106736,58788.1964001543,32972.1537887447,39915.6279025938,204390381.051883,131675.978091493,541.852684761689,275739363.29938,20,19
26,19790660.5345283,26718225.2682318,185898962.293979,82581.6995836105,33619.0287102672,41031.2157542901,232407848.09674,157231.944048168,541.852684761689,317604399.109539,25,22
27,22318013.1631808,26718225.2682318,185898962.293979,64001.264774762,34061.987348434,41801.9831895479,234935200.725392,139865.235312744,541.852684761689,310721553.984428,25,24
28,12237123.12883,23987177.9500215,170723216.527309,29792.2137905095,33401.0912005348,40654.0229646074,206947517.60616,103847.327955652,541.852684761689,263217471.064258,22,21
29,10851357.9587558,26718225.2682318,185898962.293979,53999.7459135521,33401.0912005348,40654.0229646074,223468545.520967,128054.860078694,541.852684761689,292855415.25139,25,21
30,12237123.12883,27796194.3552379,191632154.660433,53999.7459135521,33619.0287102672,41031.2157542901,231665472.144501,128649.990378109,541.852684761689,301374814.825445,26,22
31,10851357.9587558,28971926.1878995,197742326.220106,69676.6042095898,32972.1537887447,39915.6279025938,237565610.366761,142564.385900928,541.852684761689,314814505.61858,27,19
32,13799856.4824153,23220459.1880871,166268585.709128,58788.1964001543,32761.0966412406,39554.2725855027,203288901.37963,131103.565626898,541.852684761689,274327720.396395,21,18
33,15562157.619106,28971926.1878995,197742326.220106,89904.6669951357,35449.7138598159,44251.214601774,242276410.027111,169605.595456726,541.852684761689,334177657.275943,27,30
34,13799856.4824153,30255153.082694,204256208.170342,69676.6042095899,34061.987348434,41801.9831895479,248311217.735451,145540.574747572,541.852684761689,327172768.904182,28,24
35,7566558.08475343,26718225.2682318,185898962.293979,32434.0510474941,34514.5901010314,42595.1287932093,220183745.646965,109543.769941735,541.852684761689,279540331.48881,25,26
36,22318013.1631808,23220459.1880871,166268585.709128,69676.6042095898,34061.987348434,41801.9831895479,211807058.060395,145540.574747572,541.852684761689,290668609.229126,21,24
37,19790660.5345283,23987177.9500215,170723216.527309,69676.6042095898,34287.0680629242,42195.7179362387,214501055.011859,146159.390208753,541.852684761689,293697912.999602,22,25
38,22318013.1631808,26718225.2682318,185898962.293979,64001.264774762,32552.27633387,39198.0452795879,234935200.725392,135751.58638822,541.852684761689,308492562.270507,25,17
39,13799856.4824153,31656657.530603,211202722.816154,49601.327090901,32552.27633387,39198.0452795879,256659236.829172,121351.648704359,541.852684761689,322413953.479887,29,17
40,25168119.6129304,28971926.1878995,197742326.220106,75855.2067879488,33839.3175615997,41413.8426795915,251882372.020936,151108.36702914,541.852684761689,333760846.38563,27,23
41,12237123.12883,33188390.1202775,218613176.12075,49601.327090901,33839.3175615997,41413.8426795915,264038689.369858,124854.487332092,541.852684761689,331691428.535296,30,23
42,22318013.1631808,24821273.2383427,175466503.250688,58788.1964001543,33619.0287102672,41031.2157542901,222605789.652212,133438.440864712,541.852684761689,294909767.085169,23,22
43,22318013.1631808,28971926.1878995,197742326.220106,89904.6669951356,34287.0680629242,42195.7179362387,249032265.571186,166387.452994299,541.852684761689,339189753.686806,27,25
44,13799856.4824153,27796194.3552379,191632154.660433,41850.0957646677,33839.3175615997,41413.8426795915,233228205.498086,117103.256005859,541.852684761689,296680919.159196,26,23
45,12237123.12883,25729231.0206137,180518032.778663,64001.264774762,33185.4758312771,40282.1860464087,218484386.928107,137468.926652448,541.852684761689,292972293.906043,24,20
46,28382196.9374847,27796194.3552379,191632154.660433,69676.6042095899,34287.0680629242,42195.7179362387,247810545.953156,146159.390208753,541.852684761689,327007403.940899,26,25
47,17549512.2047466,21866242.9296262,158154061.512017,49601.327090901,33619.0287102672,41031.2157542901,197569816.64639,124251.571555458,541.852684761689,264895864.279574,19,22
